"";"CHK_ACCT";"DURATION";"HISTORY";"NEW_CAR";"USED_CAR";"FURNITURE";"RADIO.TV";"EDUCATION";"RETRAINING";"AMOUNT";"SAV_ACCT";"EMPLOYMENT";"INSTALL_RATE";"MALE_DIV";"MALE_SINGLE";"MALE_MAR_or_WID";"CO.APPLICANT";"GUARANTOR";"PRESENT_RESIDENT";"REAL_ESTATE";"PROP_UNKN_NONE";"AGE";"OTHER_INSTALL";"RENT";"OWN_RES";"NUM_CREDITS";"JOB";"NUM_DEPENDENTS";"TELEPHONE";"FOREIGN";"RESPONSE"
"121";"0";21;"2";"0";"0";"0";"1";"0";"0";1835;"0";"2";"3";"0";"0";"0";"0";"0";"2";"1";"0";25;"0";"0";"1";"2";"2";"1";"1";"0";"Bad Rating"
"122";"3";24;"4";"0";"1";"0";"0";"0";"0";3868;"0";"4";"4";"0";"0";"0";"0";"0";"2";"0";"0";41;"0";"1";"0";"2";"3";"1";"1";"0";"Good Rating"
"123";"3";12;"2";"0";"0";"1";"0";"0";"0";1768;"0";"2";"3";"0";"1";"0";"0";"0";"2";"1";"0";24;"0";"1";"0";"1";"1";"1";"0";"0";"Good Rating"
"124";"2";10;"4";"1";"0";"0";"0";"0";"0";781;"0";"4";"4";"0";"1";"0";"0";"0";"4";"0";"1";63;"0";"0";"0";"2";"2";"1";"1";"0";"Good Rating"
"125";"1";18;"2";"0";"0";"1";"0";"0";"0";1924;"4";"1";"4";"0";"0";"0";"0";"0";"3";"1";"0";27;"0";"1";"0";"1";"2";"1";"0";"0";"Bad Rating"
"126";"0";12;"4";"1";"0";"0";"0";"0";"0";2121;"0";"2";"4";"0";"1";"0";"0";"0";"2";"0";"0";30;"0";"0";"1";"2";"2";"1";"0";"0";"Good Rating"
"127";"0";12;"2";"0";"0";"0";"1";"0";"0";701;"0";"2";"4";"0";"0";"1";"0";"0";"2";"1";"0";40;"0";"0";"1";"1";"1";"1";"0";"0";"Good Rating"
"128";"1";12;"2";"0";"0";"0";"0";"0";"0";639;"0";"2";"4";"0";"1";"0";"0";"0";"2";"0";"0";30;"0";"0";"1";"1";"2";"1";"0";"0";"Bad Rating"
"129";"1";12;"4";"0";"1";"0";"0";"0";"0";1860;"0";"0";"4";"0";"1";"0";"0";"0";"2";"0";"0";34;"0";"0";"1";"2";"3";"1";"1";"0";"Good Rating"
"130";"0";12;"4";"1";"0";"0";"0";"0";"0";3499;"0";"2";"3";"0";"0";"0";"1";"0";"2";"1";"0";29;"0";"0";"1";"2";"2";"1";"0";"0";"Bad Rating"
"131";"1";48;"2";"1";"0";"0";"0";"0";"0";8487;"4";"3";"1";"0";"0";"0";"0";"0";"2";"0";"0";24;"0";"0";"1";"1";"2";"1";"0";"0";"Good Rating"
"132";"0";36;"3";"0";"0";"0";"0";"1";"0";6887;"0";"2";"4";"0";"1";"0";"0";"0";"3";"0";"0";29;"1";"0";"1";"1";"2";"1";"1";"0";"Bad Rating"
"133";"3";15;"2";"0";"0";"1";"0";"0";"0";2708;"0";"1";"2";"0";"1";"0";"0";"0";"3";"0";"0";27;"1";"0";"1";"2";"1";"1";"0";"0";"Good Rating"
"134";"3";18;"2";"0";"0";"1";"0";"0";"0";1984;"0";"2";"4";"0";"1";"0";"0";"0";"4";"0";"1";47;"1";"0";"0";"2";"2";"1";"0";"0";"Good Rating"
"135";"3";60;"2";"0";"0";"0";"1";"0";"0";10144;"1";"3";"2";"0";"0";"0";"0";"0";"4";"1";"0";21;"0";"0";"1";"1";"2";"1";"1";"0";"Good Rating"
